Tunnus;Nimi;Tietoa;Suure;Päävesistöalue nro;Kunta;Maakunta;Omistaja;Ylläpitoluokka;Havaintoverkko;Tarkistus;EnsimmainenHavainto;ViimeisinHavainto
65311;Jokivarsi,suuosa;Havaintopaikan tiedot ;SA;Kemijoki, 65.111;Kemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
65321;Raudanjoki+lisäalueet;Havaintopaikan tiedot ;SA;Kemijoki, 65.211;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
65331;Kemijärvi;Havaintopaikan tiedot ;SA;Kemijoki, 65.311;Kemijärvi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
65551;Ounasjoen Alapuoli;Havaintopaikan tiedot ;SA;Kemijoki, 65.511;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
65652;Ounasjoki,Maijakallio;Havaintopaikan tiedot ;SA;Kemijoki, 65.521;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
65713;Kemijoki,Valajaskoski;Havaintopaikan tiedot ;SA;Kemijoki, 65.132;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
65733;Kemijoki,Pelkosenniemi;Havaintopaikan tiedot ;SA;Kemijoki, 65.331;Kemijärvi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
65741;Kemihaara,Kummaniva;Havaintopaikan tiedot ;SA;Kemijoki, 65.412;Pelkosenniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
65761;Ounasjoki,Köngäs;Havaintopaikan tiedot ;SA;Kemijoki, 65.611;Kittilä;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
65811;Kemijoki,Isohaara;Havaintopaikan tiedot ;SA;Kemijoki, 65.111;Keminmaa;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
65821;Kemijoki ennen Ounasjokea;Havaintopaikan tiedot ;SA;Kemijoki, 65.211;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
65831;Seitakorva;Havaintopaikan tiedot ;SA;Kemijoki, 65.311;Kemijärvi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
65842;Kemijoki,Savukoski;Havaintopaikan tiedot ;SA;Kemijoki, 65.421;Savukoski;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
65846;Teniöjoki,Savukoski;Havaintopaikan tiedot ;SA;Kemijoki, 65.461;Savukoski;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
65851;Ounasjoki;Havaintopaikan tiedot ;SA;Kemijoki, 65.511;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
65854;Kaukonen;Havaintopaikan tiedot ;SA;Kemijoki, 65.541;Kittilä;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1961;1.4.1980
65861;Ounasjoen Yläpuoli;Havaintopaikan tiedot ;SA;Kemijoki, 65.612;Sodankylä;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.1.1960;1.2.2026
65871;Raudanjoki;Havaintopaikan tiedot ;SA;Kemijoki, 65.711;Rovaniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;1.4.1980;1.3.1946;1.4.1980
65881;Kitinen;Havaintopaikan tiedot ;SA;Kemijoki, 65.811;Pelkosenniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
65883;Kitinen,Porttipahta;Havaintopaikan tiedot ;SA;Kemijoki, 65.831;Sodankylä;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;16.11.1972;1.2.2026
65891;Luiro;Havaintopaikan tiedot ;SA;Kemijoki, 65.911;Pelkosenniemi;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1946;1.2.2026
65893;Luirojoki,Lokka;Havaintopaikan tiedot ;SA;Kemijoki, 65.931;Sodankylä;Lappi;Ympäristöhallinto;;Valtakunnallinen;16.6.2013;1.3.1971;1.2.2026
