paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta
3108;3509130;Kaartjärvi;W;Vedenkorkeus;35.887;Jatkuva;10.03.1938;19.12.2025;Kanta-Häme
3113;3502310;Alajärvi;W;Vedenkorkeus;35.892;Jatkuva;01.01.2007;18.12.2025;Kanta-Häme
3114;3502200;Loppijärvi;W;Vedenkorkeus;35.874;Jatkuva;28.10.1943;19.12.2025;Kanta-Häme
3116;3502420;Ojajärvi;W;Vedenkorkeus;35.876;Jatkuva;01.01.1992;18.12.2025;Kanta-Häme
3117;3502540;Katumajärvi, uimarannan laituri;W;Vedenkorkeus;35.236;Jatkuva;30.11.1953;19.12.2025;Kanta-Häme
3118;3502410;Alasjärvi;W;Vedenkorkeus;35.872;Jatkuva;01.12.1995;19.12.2025;Kanta-Häme
3119;3501320;Eteläistenjärvi;W;Vedenkorkeus;35.775;Jatkuva;01.03.1948;19.12.2025;Kanta-Häme
3120;2100230;Arolammen silta;W;Vedenkorkeus;21.023;Jatkuva;01.11.1999;19.12.2025;Kanta-Häme
3127;3501010;Vehkajärvi;W;Vedenkorkeus;35.784;Jatkuva;10.04.1947;19.12.2025;Päijät-Häme
3131;3501940;Haminanvuolle (Teuronjoki-Puujoki);W;Vedenkorkeus;35.823;Jatkuva;22.12.1954;19.12.2025;Kanta-Häme
3132;3501931;Oriharonjärvi;W;Vedenkorkeus;35.834;Jatkuva;02.04.1959;18.12.2025;Päijät-Häme
3136;3501930;Valkjärvi;W;Vedenkorkeus;35.838;Jatkuva;11.04.1958;19.12.2025;Päijät-Häme
3145;3600600;Karvian Kirkkojärvi;W;Vedenkorkeus;36.042;Jatkuva;01.01.1968;19.12.2025;Satakunta
3146;5700120;Iso-Lamujärvi;W;Vedenkorkeus;57.063;Jatkuva;01.01.1971;19.12.2025;Pohjois-Pohjanmaa
3147;4700110;Alajärvi;W;Vedenkorkeus;47.043;Jatkuva;01.01.1982;19.12.2025;Etelä-Pohjanmaa
3152;3600530;Riuttan pato, ala;W;Vedenkorkeus;36.015;Jatkuva;19.08.2003;19.12.2025;Satakunta
3163;1402211;Keitele, Äänekoski;W;Vedenkorkeus;14.411;Jatkuva;01.07.2003;30.11.2025;Keski-Suomi
3164;3508520;Mouhijärvi;W;Vedenkorkeus;35.155;Jatkuva;01.01.1995;19.12.2025;Pirkanmaa
3176;2200200;Poikkipuoliainen;W;Vedenkorkeus;22.004;Jatkuva;01.04.1977;19.12.2025;Uusimaa
3188;2101320;Rusutjärvi;W;Vedenkorkeus;21.083;Jatkuva;21.05.1992;18.12.2025;Uusimaa
3199;2400710;Saarenjärvi, etelä;W;Vedenkorkeus;24.012;Jatkuva;06.09.1999;18.12.2025;Varsinais-Suomi
3200;2400700;Perniönjoki, Pesän silta;W;Vedenkorkeus;24.041;Jatkuva;23.04.2015;19.12.2025;Varsinais-Suomi
3201;2400200;Hirsjärvi, Kirveslahti;W;Vedenkorkeus;24.062;Jatkuva;12.04.1995;19.12.2025;Varsinais-Suomi
