paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2429;6100310;Kuoliojoki;W;Vedenkorkeus;61.671;Lopetettu;1.1.1965;30.4.1970;Pohjois-Pohjanmaa;22520.0;22488.0;;;
2430;6100320;Kuoliojoki;W;Vedenkorkeus;61.671;Lopetettu;4.5.1970;31.12.1990;Pohjois-Pohjanmaa;23725.0;23693.0;;;
2432;6100400;Koitijärvi;W;Vedenkorkeus;61.612;Lopetettu;1.10.1955;31.12.1991;Pohjois-Pohjanmaa;32.0;0.0;;;
2434;6100610;Naamankajärvi;W;Vedenkorkeus;61.761;Lopetettu;8.8.1960;19.6.2018;Kainuu;17264.0;17232.0;;;
2435;6100614;Näljänkäjärvi;W;Vedenkorkeus;61.771;Lopetettu;1.2.1977;31.12.1994;Kainuu;18503.0;18472.0;;;
2437;6100630;Korvuanjärvi;W;Vedenkorkeus;61.753;Lopetettu;26.2.1960;18.6.2018;Kainuu;24147.0;24116.0;;;
2440;6100900;Kurenalus;W;Vedenkorkeus;61.211;Lopetettu;1.1.1956;12.5.1975;Pohjois-Pohjanmaa;11831.0;11796.0;11758.0;;
2441;6100910;Kurenalus;W;Vedenkorkeus;61.211;Lopetettu;8.10.1975;30.6.1985;Pohjois-Pohjanmaa;11482.0;11447.0;;;
2443;6101200;Livojoki, Hanhikoski;W;Vedenkorkeus;61.512;Lopetettu;8.9.1959;31.8.1970;Pohjois-Pohjanmaa;11482.0;11447.0;;;
2445;6101400;Kipinä;W;Vedenkorkeus;61.124;Lopetettu;20.9.1955;31.12.1995;Pohjois-Pohjanmaa;9782.0;9745.0;;9731.0;
2447;6101700;Yli-Ii;W;Vedenkorkeus;61.121;Lopetettu;21.9.1959;31.12.1967;Pohjois-Pohjanmaa;3914.0;3876.0;;3862.0;
2448;6101800;Maalismaa;W;Vedenkorkeus;61.121;Lopetettu;1.1.1968;31.12.1991;Pohjois-Pohjanmaa;75.0;;0.0;;
2449;6101900;Merikoski;W;Vedenkorkeus;84V107;Lopetettu;1.1.1911;20.6.1971;Pohjois-Pohjanmaa;570.0;531.0;493.0;;
2451;6300200;Kuivaniemi;W;Vedenkorkeus;63.011;Lopetettu;1.1.1912;31.12.1979;Pohjois-Pohjanmaa;439.0;399.0;361.0;;
2454;6400300;Portimonsalmi;W;Vedenkorkeus;64.033;Lopetettu;3.5.1961;31.12.1995;Lappi;14098.0;14062.0;;14048.0;
2456;6400400;Simo;W;Vedenkorkeus;64.012;Lopetettu;10.4.1912;31.12.1963;Lappi;753.0;;676.0;;
2459;6500240;Angeljoki;W;Vedenkorkeus;65.929;Lopetettu;13.10.1976;31.12.1988;Lappi;31.0;;;0.0;
2464;6500500;Kitinen, Kairala;W;Vedenkorkeus;65.812;Lopetettu;19.8.1921;31.12.1960;Lappi;;;14690.0;;
2465;6500510;Kitinen, Kokkosniva;W;Vedenkorkeus;65.813;Lopetettu;22.3.1959;31.12.1989;Lappi;14970.0;14938.0;;14924.0;
2470;6501500;Yli-Suolijärvi;W;Vedenkorkeus;65.393;Lopetettu;6.4.1948;31.12.1959;Lappi;72.0;40.0;0.0;;
2472;6501600;Ala-Suolijärvi;W;Vedenkorkeus;65.392;Lopetettu;2.4.1948;29.8.1973;Lappi;72.0;40.0;0.0;;
2477;6502011;Kemijärvi, Luusua;W;Vedenkorkeus;65.311;Lopetettu;1.1.1950;31.12.1965;Lappi;14617.0;14584.0;14550.0;;
2479;6502040;Lautasalmi;W;Vedenkorkeus;65.311;Lopetettu;12.3.1954;31.12.1964;Lappi;14579.0;14546.0;;14532.0;
3905;6501510;Yli-Suolijärvi;W;Vedenkorkeus;65.393;Lopetettu;1.5.1959;30.6.1976;Lappi;72.0;40.0;0.0;;
3860;4200435;Jouttikoski, Testiasema;W;Vedenkorkeus;42.072;Lopetettu;7.4.2021;5.5.2021;Etelä-Pohjanmaa;53.0;;;0.0;
3816;2701400;Paimion Vähäjoki;W;Vedenkorkeus;27.014;Lopetettu;22.1.2020;17.10.2025;Varsinais-Suomi;0.0;;;;
2489;6502150;Juottaan tekojärvi;W;Vedenkorkeus;65.271;Lopetettu;1.1.1970;30.9.2015;Lappi;;;12000.0;;
2490;6502200;Viiri;W;Vedenkorkeus;65.212;Lopetettu;15.8.1918;31.12.1967;Lappi;;;7707.0;;
2493;6502500;Olkkajärvi;W;Vedenkorkeus;65.712;Lopetettu;1.11.1949;31.12.1969;Lappi;;;9705.0;;
2500;6503400;Ounasjoki,;W;Vedenkorkeus;65.523;Lopetettu;27.11.1940;31.12.1964;Lappi;;;9705.0;;
2503;6503700;Ounasjoki, Marraskoski;W;Vedenkorkeus;65.521;Lopetettu;1.1.1919;31.10.1970;Lappi;8695.0;8660.0;8620.0;;
2505;6503800;Ounaskoski, ylä;W;Vedenkorkeus;65.211;Lopetettu;9.2.1935;28.2.1996;Lappi;7148.0;7112.0;7073.0;;
2508;6504030;Rautionsuvanto;W;Vedenkorkeus;65.131;Lopetettu;15.4.1946;31.12.1965;Lappi;6042.0;6005.0;5966.0;;
2511;6504080;Narkauskoski, ylä;W;Vedenkorkeus;65.121;Lopetettu;14.9.1940;29.12.1963;Lappi;;;3454.0;;
2512;6504088;Narkauskoski, ylä;W;Vedenkorkeus;65.121;Lopetettu;1.1.1971;30.4.1977;Lappi;52.0;;;0.0;
2514;6504222;Ossauskoski, ala;W;Vedenkorkeus;65.112;Lopetettu;1.1.1968;31.12.1970;Lappi;52.0;14.0;;0.0;
2516;6504244;Paakkola;W;Vedenkorkeus;65.112;Lopetettu;21.9.1949;19.1.1963;Lappi;1974.0;1934.0;;1920.0;
2517;6504250;Taivalkoski, ylä;W;Vedenkorkeus;65.112;Lopetettu;27.9.1940;30.11.1967;Lappi;1736.0;1696.0;1659.0;;
2520;6504420;Isohaara, ala;W;Vedenkorkeus;65.111;Lopetettu;1.1.1970;29.2.1992;Lappi;55.0;;;0.0;
2523;6700300;Könkämäeno, Ropinsalmi;W;Vedenkorkeus;67.67;Lopetettu;1.7.1971;31.12.1990;Lappi;39740.0;;;39720.0;39735.0
2524;6700400;Könkämäeno, Luspajärämä;W;Vedenkorkeus;67.61;Lopetettu;1.7.1971;31.12.1990;Lappi;36167.0;;;36144.0;36159.0
2525;6700420;Rommaeno;W;Vedenkorkeus;67.761;Lopetettu;1.7.1971;31.8.1977;Lappi;44956.0;;;44938.0;44953.0
2526;6700440;Poroeno, Munnikurkkio;W;Vedenkorkeus;67.73;Lopetettu;1.7.1971;31.5.1979;Lappi;44926.0;;;44907.0;44922.0
2527;6700500;Muonionjoki, Kaaresuvanto;W;Vedenkorkeus;67.531;Lopetettu;26.8.1958;22.10.1963;Lappi;31954.0;31931.0;;31917.0;
2529;6700540;Palojoki;W;Vedenkorkeus;67.571;Lopetettu;1.7.1971;30.6.1992;Lappi;27301.0;;;27273.0;
2530;6700600;Muonionjoki, Kätkäsuvanto;W;Vedenkorkeus;67.431;Lopetettu;1.7.1971;30.11.1989;Lappi;24232.0;;;24203.0;24218.0
2531;6700700;Jerisjärvi;W;Vedenkorkeus;67.473;Lopetettu;12.9.1938;12.8.2015;Lappi;25731.0;25705.0;;;
2533;6701000;Äkäsjoensuu;W;Vedenkorkeus;67.341;Lopetettu;4.9.1958;30.6.1992;Lappi;;;;;15340.0
2534;6701100;Ylläsjoki;W;Vedenkorkeus;67.371;Lopetettu;24.9.1960;31.12.1972;Lappi;;;;;15340.0
2537;6701600;Kattilakoski;W;Vedenkorkeus;67.211;Lopetettu;1.9.1937;31.12.1964;Lappi;;;5619.0;;5659.0
2542;6702000;Portimojärvi;W;Vedenkorkeus;67.912;Lopetettu;28.4.1936;31.7.1986;Lappi;6189.0;6150.0;6115.0;;
2543;6702010;Törmäslompolo;W;Vedenkorkeus;67.913;Lopetettu;1.1.1961;30.6.1988;Lappi;38.0;0.0;;-14.0;
2545;6702020;Lohijärvi;W;Vedenkorkeus;67.922;Lopetettu;1.1.1963;31.12.1984;Lappi;;;0.0;;
2546;6702100;Vuennonkoski;W;Vedenkorkeus;67.131;Lopetettu;1.1.1960;31.12.1990;Lappi;4256.0;4216.0;;4202.0;
2549;6702300;Liakanjoki;W;Vedenkorkeus;67.111;Lopetettu;14.9.1958;31.12.1993;Lappi;655.0;614.0;;;
2550;6702510;Tornio;W;Vedenkorkeus;67.111;Lopetettu;1.1.1938;31.12.1995;Lappi;-26.0;-67.0;-104.0;;
2558;7101000;Ukonjärvi;W;Vedenkorkeus;71.111;Lopetettu;23.7.1951;31.12.1995;Lappi;21.0;;;0.0;
2560;7101300;Ivalojoki, Toloskoski;W;Vedenkorkeus;71.413;Lopetettu;1.8.1921;31.12.1980;Lappi;;;;;12490.0
2563;7101600;Inari, Kessivuono;W;Vedenkorkeus;71.111;Lopetettu;24.7.1925;29.2.1980;Lappi;11678.0;11659.0;11632.0;;
2566;7101900;Paatsjoki, Teproköngäs;W;Vedenkorkeus;71;Lopetettu;1.1.1944;30.4.1951;Lappi;11678.0;11659.0;11632.0;;
