paikka_id;Tunnus;Nimi;Suurekoodi;Suure;Vesistonumero;Tila;EnsimmainenHavainto;ViimeisinHavainto;Maakunta;N2000;N60;NN;N43;LN
2458;6500210;Porttipahta, ylä;W;Vedenkorkeus;65.822;Jatkuva;1.1.1971;19.12.2025;Lappi;38;;;0;
2460;6500380;Sattasjoki;W;Vedenkorkeus;65.861;Jatkuva;11.10.1976;19.12.2025;Lappi;29;;;0;
2461;6500410;Kitinen, Kurittukoski, ylä;W;Vedenkorkeus;65.822;Jatkuva;1.10.1987;19.12.2025;Lappi;27;;;0;
2462;6500420;Kitinen, Vajukoski, ylä;W;Vedenkorkeus;65.822;Jatkuva;1.10.1984;19.12.2025;Lappi;28;;;0;
2463;6500480;Kitinen, Kurkiaska, ylä;W;Vedenkorkeus;65.814;Jatkuva;1.1.1993;19.12.2025;Lappi;31;;;0;
2466;6500520;Kitinen, Kokkosniva, ylä;W;Vedenkorkeus;65.813;Jatkuva;8.10.1990;19.12.2025;Lappi;32;14;;0;
2467;6500600;Vuotso;W;Vedenkorkeus;65.931;Jatkuva;1.10.1971;18.12.2025;Lappi;26;;;0;
2468;6500610;Lokka, ylä;W;Vedenkorkeus;65.931;Jatkuva;1.1.1968;19.12.2025;Lappi;42;;;0;
2469;6501400;Isojärvi;W;Vedenkorkeus;65.394;Jatkuva;16.3.1951;18.12.2025;Lappi;;;0;;
2471;6501530;Luksuan pato;W;Vedenkorkeus;65.393;Jatkuva;29.8.1973;18.12.2025;Lappi;67;;0;;
2473;6501620;Räpsyn kanava;W;Vedenkorkeus;65.392;Jatkuva;12.2.1972;18.12.2025;Lappi;68;;0;;
2474;6501700;Kemihaara;W;Vedenkorkeus;65.411;Jatkuva;24.8.1921;19.12.2025;Lappi;15418;15387;;15374;15387
2475;6502000;Kemijärvi, Kemijärvi;W;Vedenkorkeus;65.311;Jatkuva;26.8.1918;19.12.2025;Lappi;45;13;;0;
2476;6502010;Kemijärvi, Kulmunki;W;Vedenkorkeus;65.311;Jatkuva;1.1.1965;19.12.2025;Lappi;47;14;;0;
2478;6502033;Seitakorva, ylä;W;Vedenkorkeus;65.311;Jatkuva;1.1.1971;19.12.2025;Lappi;45;;;0;
2480;6502110;Iso-Kaihua;W;Vedenkorkeus;65.241;Jatkuva;1.1.1960;19.12.2025;Lappi;47;14;;0;
2481;6502113;Saukkojärvi;W;Vedenkorkeus;65.243;Jatkuva;1.1.1971;19.12.2025;Lappi;47;;;0;
2482;6502114;Pikku-Kaarni;W;Vedenkorkeus;65.242;Jatkuva;1.1.1971;19.12.2025;Lappi;47;;;0;
2483;6502116;Iso-Kaarni;W;Vedenkorkeus;65.242;Jatkuva;1.1.1971;19.12.2025;Lappi;47;;;0;
2484;6502117;Vanttausjärvi;W;Vedenkorkeus;65.244;Jatkuva;1.11.1972;19.12.2025;Lappi;48;;;0;
2485;6502118;Alalampi;W;Vedenkorkeus;65.22;Jatkuva;1.11.1972;19.12.2025;Lappi;48;;;0;
2486;6502120;Pirttikoski, ylä;W;Vedenkorkeus;65.231;Jatkuva;1.1.1960;19.12.2025;Lappi;46;;;0;
3779;4400450;Kangas–Annala-tien silta;W;Vedenkorkeus;44.022;Jatkuva;27.6.2019;19.12.2025;Etelä-Pohjanmaa;56;;;0;
3782;6503225;Loukinen Tuohiranta;W;Vedenkorkeus;65.691;Jatkuva;8.8.2019;19.12.2025;Lappi;0;;;;
3783;3509108;Halinanlammi;W;Vedenkorkeus;35.964;Jatkuva;24.1.2018;4.1.2021;Kanta-Häme;0;;;;
3785;8401000;Pattijoki, Koskenkorvanperä;W;Vedenkorkeus;84.09;Jatkuva;30.8.2019;19.12.2025;Pohjois-Pohjanmaa;0;;;;
3787;605800;Hounijoki,Myllymäenkoski;W;Vedenkorkeus;6.011;Jatkuva;10.10.2019;19.12.2025;Etelä-Karjala;3641;3621;;;
3795;8310200;Hinjärv, Kamb;W;Vedenkorkeus;83.102;Jatkuva;2.9.2020;13.12.2025;Pohjanmaa;78;;0;;
3836;1409150;Karhulanjärvi;W;Vedenkorkeus;14.182;Jatkuva;29.11.2016;19.12.2025;Kymenlaakso;6163;6141;;;
3844;6701200;Muonionjoki, Kolari;W;Vedenkorkeus;67.321;Jatkuva;5.5.2020;19.12.2025;Lappi;0;-34;;;
3848;3400160;Kauttua, ala;W;Vedenkorkeus;34.022;Jatkuva;24.9.2020;19.12.2025;Satakunta;44;11;-15;0;
3849;3900501;Lintuluoma, Jurva;W;Vedenkorkeus;39.003;Jatkuva;5.8.1991;19.12.2025;Etelä-Pohjanmaa;44;11;-15;0;
3852;4700375;Välijoki, Lassilansilta, Evijärvi;W;Vedenkorkeus;47.022;Jatkuva;14.10.2020;19.12.2025;Etelä-Pohjanmaa;41;0;;;
3853;1404170;Niemisjärvi;W;Vedenkorkeus;14.382;Jatkuva;17.9.2020;19.12.2025;Keski-Suomi;9896;9868;;;
3854;4700350;Hattar, Ylävesi;W;Vedenkorkeus;47.013;Jatkuva;21.10.2020;19.12.2025;Pohjanmaa;42;0;;-14;
3857;9651001;Västerfjärden ala, merenpinta;W;Vedenkorkeus;96.51;Jatkuva;1.2.2021;15.11.2025;Pohjanmaa;42;0;;;
3865;406460;Viannakoski pato, ylävesi;W;Vedenkorkeus;4.511;Jatkuva;14.1.2021;19.12.2025;Pohjois-Savo;42;0;;;
3871;1406924;Iso-Kukkanen;W;Vedenkorkeus;14.163;Jatkuva;8.12.2020;19.12.2025;Päijät-Häme;9035;9011;8997;9003;
3876;3600850;Karvianjoki, Vatajankoski, ala;W;Vedenkorkeus;36.022;Jatkuva;4.1.2021;19.12.2025;Satakunta;0;-37;;;
3877;5904450;Merikoski, ylävesi;W;Vedenkorkeus;59.111;Jatkuva;15.12.2020;18.12.2025;Pohjois-Pohjanmaa;0;-37;;;
3880;411745;Vuoksi, Saunaranta;W;Vedenkorkeus;4.191;Jatkuva;15.12.2020;18.12.2025;Etelä-Karjala;23;4;0;;
3920;6501900;Naruskajoki, Naruska;W;Vedenkorkeus;65.472;Jatkuva;27.1.2022;19.12.2025;Lappi;0;-29;;;
3906;2900200;Hirvijoki, Nousiainen;W;Vedenkorkeus;29.002;Jatkuva;8.9.2014;19.12.2025;Varsinais-Suomi;163;;;;
3914;300460;Hiitolanjoki, Kangaskoski, ylä;W;Vedenkorkeus;3.011;Jatkuva;12.5.2021;19.12.2025;Etelä-Karjala;4580;;;;
3917;4900175;Veteli Haapajärvi, ylä;W;Vedenkorkeus;49.081;Jatkuva;2.6.2021;19.12.2025;Keski-Pohjanmaa;39;0;;;
3918;4900185;Veteli Haapajärvi, ala;W;Vedenkorkeus;49.081;Jatkuva;2.6.2021;19.12.2025;Keski-Pohjanmaa;39;0;;;
